SRCID,D3,D3_norm,D1_avg,D1_norm,A4_avg,A4_norm,A3,A3_norm,A1,A1_norm,B1a,B1b,B1c,B1d,B1_avg,B1_avg_norm,B4,B4_norm,B6f,B6g,B6_avg,B6_avg_norm,B7,B7_norm,V1,V1_binary,V1_norm
2512,1,0,1.8,0.2,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,4,4,4,0.75,1,0,4,1,1
3407,2,0.333333333,1.6,0.15,2.333333333,0.444444444,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
842,1,0,2,0.25,2,0.333333333,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,3,2,2.5,0.375,1,0,4,1,1
215,1,0,1,0,2.666666667,0.555555556,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,2,2,2,0.25,1,0,4,1,1
1142,1,0,1.4,0.1,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,4,5,4.5,0.875,2,0.5,4,1,1
301,1,0,1,0,1.666666667,0.222222222,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,3,2,0.25,1,0,4,1,1
2639,2,0.333333333,1,0,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,3,0,0.666666667
46,1,0,1.4,0.1,1.833333333,0.277777778,9,0.9,1,0,1,2,1,1,1.25,0.25,3,0.666666667,1,1,1,0,1,0,4,1,1
1711,1,0,1.2,0.05,2,0.333333333,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,2,0.5,2,0,0.333333333
2729,1,0,2,0.25,3,0.666666667,3,0.3,4,0.75,2,2,1,1,1.5,0.5,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
1855,1,0,2.4,0.35,1,0,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,3,0,0.666666667
40,1,0,1,0,1.333333333,0.111111111,10,1,1,0,2,2,2,2,2,1,3,0.666666667,1,1,1,0,1,0,4,1,1
2105,1,0,1,0,2.333333333,0.444444444,4,0.4,4,0.75,2,2,2,2,2,1,3,0.666666667,3,3,3,0.5,1,0,4,1,1
1735,4,1,2,0.25,2.166666667,0.388888889,6,0.6,2,0.25,2,2,2,2,2,1,2,0.333333333,5,5,5,1,3,1,4,1,1
47,3,0.666666667,1.4,0.1,1.666666667,0.222222222,8,0.8,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,1,3,0.5,1,0,4,1,1
2,3,0.666666667,1,0,1.833333333,0.277777778,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,3,2.5,0.375,2,0.5,4,1,1
2553,1,0,1,0,2.333333333,0.444444444,8,0.8,4,0.75,2,2,2,2,2,1,3,0.666666667,1,2,1.5,0.125,1,0,4,1,1
7,3,0.666666667,2.4,0.35,2,0.333333333,5,0.5,2,0.25,2,2,2,2,2,1,3,0.666666667,4,3,3.5,0.625,2,0.5,4,1,1
853,3,0.666666667,1.4,0.1,1.833333333,0.277777778,8,0.8,2,0.25,1,2,2,2,1.75,0.75,3,0.666666667,3,3,3,0.5,2,0.5,4,1,1
3040,1,0,1.2,0.05,1.166666667,0.055555556,7,0.7,2,0.25,1,2,2,1,1.5,0.5,3,0.666666667,2,5,3.5,0.625,1,0,4,1,1
1078,2,0.333333333,2.4,0.35,2.666666667,0.555555556,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,2,0.5,4,1,1
1862,1,0,1.2,0.05,1.166666667,0.055555556,10,1,1,0,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
1474,1,0,1,0,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,2,2,1,4,1,1,1,1,0,1,0,2,0,0.333333333
2708,1,0,1.6,0.15,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,2,2,1,4,1,1,1,1,0,2,0.5,2,0,0.333333333
2786,2,0.333333333,1.8,0.2,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
2649,1,0,1,0,2,0.333333333,10,1,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,1,0,4,1,1
18,1,0,1.2,0.05,2.166666667,0.388888889,8,0.8,2,0.25,2,2,2,2,2,1,2,0.333333333,1,1,1,0,1,0,4,1,1
554,1,0,1,0,1.833333333,0.277777778,7,0.7,4,0.75,1,2,2,2,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
336,2,0.333333333,1.4,0.1,1.333333333,0.111111111,9,0.9,1,0,1,2,2,1,1.5,0.5,2,0.333333333,1,1,1,0,1,0,4,1,1
595,1,0,1.4,0.1,2.5,0.5,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,1,1.5,0.125,1,0,4,1,1
13,2,0.333333333,2.6,0.4,2,0.333333333,3,0.3,5,1,2,2,2,2,2,1,3,0.666666667,2,2,2,0.25,3,1,1,0,0
54,1,0,1,0,2.166666667,0.388888889,7,0.7,4,0.75,2,1,2,2,1.75,0.75,3,0.666666667,4,1,2.5,0.375,2,0.5,3,0,0.666666667
2146,1,0,1,0,2,0.333333333,6,0.6,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,1,0,0
59,1,0,2,0.25,2.833333333,0.611111111,5,0.5,4,0.75,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,3,0,0.666666667
499,1,0,1.4,0.1,1.5,0.166666667,9,0.9,1,0,2,2,2,2,2,1,3,0.666666667,2,2,2,0.25,1,0,3,0,0.666666667
44,3,0.666666667,2.6,0.4,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,1,1,1,0,1,0,4,1,1
1464,2,0.333333333,2.2,0.3,2.333333333,0.444444444,3,0.3,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,1,0,4,1,1
43,1,0,1.2,0.05,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
1808,2,0.333333333,1.4,0.1,2.166666667,0.388888889,7,0.7,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
2182,1,0,1,0,2,0.333333333,7,0.7,4,0.75,2,2,2,2,2,1,4,1,4,5,4.5,0.875,2,0.5,4,1,1
413,2,0.333333333,1,0,1.333333333,0.111111111,9,0.9,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,2,0,0.333333333
417,2,0.333333333,2.6,0.4,2.333333333,0.444444444,4,0.4,4,0.75,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2504,2,0.333333333,1.4,0.1,1.5,0.166666667,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
2625,1,0,1.2,0.05,1.166666667,0.055555556,8,0.8,1,0,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,4,1,1
653,1,0,2,0.25,2.166666667,0.388888889,7,0.7,2,0.25,2,2,1,2,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1828,1,0,1.4,0.1,2,0.333333333,6,0.6,2,0.25,2,2,2,2,2,1,4,1,5,5,5,1,2,0.5,4,1,1
581,1,0,1.4,0.1,1.666666667,0.222222222,6,0.6,2,0.25,1,2,2,1,1.5,0.5,2,0.333333333,5,5,5,1,2,0.5,4,1,1
291,1,0,1,0,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
2963,1,0,1,0,1.166666667,0.055555556,8,0.8,1,0,1,2,2,2,1.75,0.75,4,1,5,5,5,1,2,0.5,4,1,1
1592,2,0.333333333,2.4,0.35,1.333333333,0.111111111,8,0.8,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,4,4.5,0.875,2,0.5,3,0,0.666666667
644,4,1,3.8,0.7,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
1234,4,1,3.8,0.7,2.333333333,0.444444444,5,0.5,2,0.25,2,2,2,2,2,1,2,0.333333333,5,5,5,1,2,0.5,3,0,0.666666667
2383,3,0.666666667,1.8,0.2,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,4,1,1
45,2,0.333333333,2.6,0.4,2,0.333333333,7,0.7,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
42,3,0.666666667,1,0,2.333333333,0.444444444,9,0.9,2,0.25,2,2,2,2,2,1,3,0.666666667,2,4,3,0.5,2,0.5,3,0,0.666666667
1160,1,0,1.2,0.05,1.666666667,0.222222222,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,4,1,1
747,2,0.333333333,1,0,2.333333333,0.444444444,5,0.5,4,0.75,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,2,0,0.333333333
1298,3,0.666666667,2.2,0.3,2,0.333333333,7,0.7,2,0.25,2,1,2,2,1.75,0.75,2,0.333333333,5,5,5,1,2,0.5,2,0,0.333333333
2898,1,0,1.2,0.05,1.333333333,0.111111111,7,0.7,2,0.25,2,2,2,2,2,1,2,0.333333333,5,5,5,1,2,0.5,4,1,1
1087,2,0.333333333,1,0,2.333333333,0.444444444,6,0.6,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,1,0,0
1082,1,0,2,0.25,2,0.333333333,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,1,0,4,1,1
720,1,0,1,0,2,0.333333333,9,0.9,1,0,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,1,0,4,1,1
1513,1,0,1.2,0.05,2,0.333333333,5,0.5,4,0.75,1,2,2,1,1.5,0.5,4,1,5,5,5,1,2,0.5,4,1,1
2863,1,0,1,0,2,0.333333333,9,0.9,2,0.25,2,2,2,2,2,1,3,0.666666667,5,5,5,1,2,0.5,1,0,0
